fold_id,strategy,haircut,status,bets,wins,win_pct,initial_bankroll,final_bankroll,bankroll_profit,bankroll_return_pct,total_staked,yield_pct,unit_profit,unit_staked,unit_yield_pct,max_drawdown_pct,profit_factor,avg_implied_probability,skip_reason
5,market_favorite,0.01,completed,68,36,52.941176,1000.0,927.464015,-72.535985,-7.253599,645.231797,-11.241849,-7.291392,68.0,-10.722636,9.896634,0.762833,0.592923,
5,market_underdog,0.01,completed,68,32,47.058824,1000.0,1037.134499,37.134499,3.71345,707.561622,5.248235,4.065829,68.0,5.979161,4.900995,1.098525,0.445894,
5,home_side,0.01,completed,68,41,60.294118,1000.0,1060.577917,60.577917,6.057792,709.015088,8.543953,6.187413,68.0,9.099137,4.295716,1.213861,0.562846,
5,away_side,0.01,completed,68,27,39.705882,1000.0,906.399469,-93.600531,-9.360053,644.173433,-14.530331,-9.412977,68.0,-13.842613,14.369792,0.760295,0.475971,
5,hodge_only_side,0.01,completed,68,40,58.823529,1000.0,1090.972999,90.972999,9.0973,693.678257,13.114581,8.991972,68.0,13.223488,5.084674,1.31866,0.528522,
5,contrarian_side,0.01,completed,68,28,41.176471,1000.0,882.449367,-117.550633,-11.755063,658.901399,-17.840398,-12.217535,68.0,-17.966964,14.538954,0.695892,0.510295,
5,odds_band_random_seed_7,0.01,completed,68,34,50.0,1000.0,946.95175,-53.04825,-5.304825,675.826915,-7.849384,-5.052571,68.0,-7.430251,8.31875,0.843598,0.530528,
5,odds_band_random_seed_17,0.01,completed,68,41,60.294118,1000.0,1090.843169,90.843169,9.084317,717.768746,12.656328,9.016049,68.0,13.258896,4.697284,1.316984,0.525404,
5,odds_band_random_seed_29,0.01,completed,68,34,50.0,1000.0,935.177462,-64.822538,-6.482254,672.754929,-9.635387,-6.402802,68.0,-9.415886,12.915998,0.807896,0.530877,
5,market_only_expected_value_calibration,0.01,skipped,0,,,,,,,,0.0,,,0.0,0.0,,,not feasible from closing odds alone because normalized market probabilities produce non-positive raw EV after overround
6,market_favorite,0.01,completed,43,18,41.860465,1000.0,881.523406,-118.476594,-11.847659,402.694897,-29.420933,-12.447875,43.0,-28.948547,11.847659,0.496574,0.583252,
6,market_underdog,0.01,completed,43,24,55.813953,1000.0,1117.774372,117.774372,11.777437,461.829352,25.501708,11.403765,43.0,26.520384,4.13257,1.571376,0.43933,
6,home_side,0.01,completed,43,23,53.488372,1000.0,992.421742,-7.578258,-0.757826,427.787842,-1.771499,-0.548553,43.0,-1.275705,4.726624,0.962092,0.559173,
6,away_side,0.01,completed,43,20,46.511628,1000.0,1011.592837,11.592837,1.159284,435.961847,2.65914,1.4473,43.0,3.365814,7.573386,1.049422,0.463409,
6,hodge_only_side,0.01,completed,43,25,58.139535,1000.0,1052.445959,52.445959,5.244596,442.734007,11.84593,5.301548,43.0,12.329182,4.116428,1.28167,0.535559,
6,contrarian_side,0.01,completed,43,18,41.860465,1000.0,954.786278,-45.213722,-4.521372,421.582307,-10.724767,-4.402801,43.0,-10.239073,9.462089,0.816221,0.487023,
6,odds_band_random_seed_7,0.01,completed,43,24,55.813953,1000.0,1014.751386,14.751386,1.475139,426.68791,3.457184,1.673456,43.0,3.891759,6.477178,1.077836,0.52665,
6,odds_band_random_seed_17,0.01,completed,43,16,37.209302,1000.0,871.359201,-128.640799,-12.86408,402.962133,-31.923793,-13.580889,43.0,-31.583463,15.169502,0.4928,0.524107,
6,odds_band_random_seed_29,0.01,completed,43,21,48.837209,1000.0,966.299485,-33.700515,-3.370052,415.607773,-8.108731,-3.20897,43.0,-7.46272,6.779658,0.842531,0.524366,
6,market_only_expected_value_calibration,0.01,skipped,0,,,,,,,,0.0,,,0.0,0.0,,,not feasible from closing odds alone because normalized market probabilities produce non-positive raw EV after overround
7,market_favorite,0.01,completed,45,27,60.0,1000.0,1024.688812,24.688812,2.468881,454.588675,5.431022,2.601329,45.0,5.780732,3.681635,1.135073,0.57609,
7,market_underdog,0.01,completed,45,18,40.0,1000.0,965.258827,-34.741173,-3.474117,441.375635,-7.871113,-3.2499,45.0,-7.222,8.801148,0.869399,0.445651,
7,home_side,0.01,completed,45,23,51.111111,1000.0,979.373505,-20.626495,-2.062649,450.894334,-4.574574,-1.869287,45.0,-4.153972,6.872661,0.906775,0.539089,
7,away_side,0.01,completed,45,22,48.888889,1000.0,1009.466515,9.466515,0.946651,444.98015,2.127402,1.220717,45.0,2.712704,7.76978,1.041407,0.482652,
7,hodge_only_side,0.01,completed,45,25,55.555556,1000.0,1050.888739,50.888739,5.088874,468.695699,10.857522,5.16156,45.0,11.470134,3.571617,1.24276,0.504072,
7,contrarian_side,0.01,completed,45,20,44.444444,1000.0,941.652253,-58.347747,-5.834775,428.338703,-13.621871,-5.810131,45.0,-12.911402,9.21318,0.756006,0.51767,
7,odds_band_random_seed_7,0.01,completed,45,23,51.111111,1000.0,980.537379,-19.462621,-1.946262,449.636423,-4.328524,-1.816447,45.0,-4.036549,5.039658,0.911771,0.505926,
7,odds_band_random_seed_17,0.01,completed,45,23,51.111111,1000.0,988.471265,-11.528735,-1.152873,438.593394,-2.62857,-0.959774,45.0,-2.132831,5.000685,0.946492,0.504268,
7,odds_band_random_seed_29,0.01,completed,45,20,44.444444,1000.0,957.021132,-42.978868,-4.297887,455.99944,-9.425202,-4.145016,45.0,-9.211147,11.492187,0.830592,0.494511,
7,market_only_expected_value_calibration,0.01,skipped,0,,,,,,,,0.0,,,0.0,0.0,,,not feasible from closing odds alone because normalized market probabilities produce non-positive raw EV after overround
8,market_favorite,0.01,completed,31,19,61.290323,1000.0,1020.217269,20.217269,2.021727,315.774177,6.402445,2.125863,31.0,6.857623,4.0309,1.164249,0.575564,
8,market_underdog,0.01,completed,31,12,38.709677,1000.0,960.168767,-39.831233,-3.983123,299.268603,-13.309526,-3.851747,31.0,-12.424989,9.482123,0.784046,0.446821,
8,home_side,0.01,completed,31,14,45.16129,1000.0,949.387067,-50.612933,-5.061293,300.505748,-16.842584,-5.06092,31.0,-16.325547,6.313414,0.694561,0.53044,
8,away_side,0.01,completed,31,17,54.83871,1000.0,1032.351521,32.351521,3.235152,314.417464,10.289352,3.335036,31.0,10.75818,5.325604,1.226645,0.491945,
8,hodge_only_side,0.01,completed,31,21,67.741935,1000.0,1082.417905,82.417905,8.24179,324.344602,25.410599,8.044064,31.0,25.948595,1.99,1.778709,0.541163,
8,contrarian_side,0.01,completed,31,10,32.258065,1000.0,905.424561,-94.575439,-9.457544,291.676501,-32.424772,-9.769948,31.0,-31.515962,12.34244,0.523885,0.481223,
8,odds_band_random_seed_7,0.01,completed,31,16,51.612903,1000.0,985.332112,-14.667888,-1.466789,304.930256,-4.810244,-1.384331,31.0,-4.465585,6.508142,0.901014,0.53798,
8,odds_band_random_seed_17,0.01,completed,31,19,61.290323,1000.0,1025.258702,25.258702,2.52587,317.755246,7.949106,2.613369,31.0,8.430222,2.636943,1.204218,0.543765,
8,odds_band_random_seed_29,0.01,completed,31,16,51.612903,1000.0,977.41199,-22.58801,-2.258801,302.136259,-7.476101,-2.16803,31.0,-6.993644,4.429622,0.846382,0.543442,
8,market_only_expected_value_calibration,0.01,skipped,0,,,,,,,,0.0,,,0.0,0.0,,,not feasible from closing odds alone because normalized market probabilities produce non-positive raw EV after overround
